id,title,year,released_month,genre,rated,runtime,language,director,writer,main_actor,metascore,rating,votes,budget,gross
"267","A Haunted House 2","2014","Apr","Comedy","R","86","English","Michael Tiddes","Marlon Wayans","Marlon Wayans","17","47","13685","3500000","17314483"
"268","The Possession","2012","Aug","Horror","PG-13","92","English","Ole Bornedal","Juliet Snowden","Jeffrey Dean Morgan","45","59","45682","14000000","49122319"
"269","The Iron Lady","2011","Jan","Biography","PG-13","105","English","Phyllida Lloyd","Abi Morgan","Meryl Streep","54","64","79418","13000000","30004924"
"270","You Again","2010","Sep","Comedy","PG","105","English","Andy Fickman","Moe Jelline","Kristen Bell","28","58","39936","20000000","25677801"
"271","Due Date","2010","Nov","Adventure","R","95","English","Todd Phillips","Alan R. Cohen","Robert Downey Jr.","51","66","266705","65000000","100539043"
"272","Gravity","2013","Oct","Sci-Fi","PG-13","91","English","Alfonso Cuarón","Alfonso Cuarón","Sandra Bullock","96","79","557638","100000000","274086615"
"273","Dead Awake","2010","Dec","Fantasy","R","93","English","Omar Naim","Johnny Harrington","Nick Stahl","N/A","46","1114","3500000","712000"
"274","Getaway","2013","Aug","Action","PG-13","90","English","Courtney Solomon","Sean Finegan","Ethan Hawke","22","44","18981","18000000","10494494"
"275","Tammy","2014","Jul","Comedy","R","97","English","Ben Falcone","Melissa McCarthy","Melissa McCarthy","39","49","33195","20000000","84416826"
"276","The Tourist","2010","Dec","Action","PG-13","103","English","Florian Henckel von Donnersmarck","Florian Henckel von Donnersmarck","Johnny Depp","37","60","170856","100000000","67631157"
"277","Letters to God","2010","Apr","Drama","PG","110","English","David Nixon, Patrick Doughtie","Patrick Doughtie","Lisa Curtis","31","62","3841","3500000","2848578"
"278","A Streetcar Named Desire","2012","Dec","Drama","PG","122","English","Elia Kazan","Tennessee Williams","Vivien Leigh","N/A","81","76039","1000","5000"
"279","Gottfried Helnwein and the Dreaming Child","2011","May","Documentary","NOT RATED","70","English","Lisa Kirk Colburn","Lisa Kirk Colburn","N/A","35","50","7","500000","402"
"280","The Wolf of Wall Street","2013","Dec","Biography","R","180","English","Martin Scorsese","Terence Winter","Leonardo DiCaprio","75","82","721971","100000000","116900694"
"281","We Are Your Friends","2015","Aug","Drama","R","96","English","Max Joseph","Max Joseph","Zac Efron","46","61","14990","6000000","3590010"
"282","Playback","2012","Mar","Horror","R","98","English","Michael A. Nickles","Michael A. Nickles","Luke Bonczyk","N/A","42","4018","1600000","252"
"283","The Walk","2015","Oct","Adventure","PG","123","English","Robert Zemeckis","Robert Zemeckis","Joseph Gordon-Levitt","70","75","57807","35000000","10137502"
